ID,Title,Geek_Rating,Avg_Rating,Num_of_Voters,BGP_Price,Price,Year,Complexity,Min_Players,Max_Players,Min_Time,Max_Time,Min_Age,Type1,Type2
224517,Brass: Birmingham,8.401,8.58,53268,59.99,69.95,2018,3.87,2,4,60,120,14,Strategy,
161936,Pandemic Legacy: Season 1,8.359,8.51,55994,44.99,79.83,2015,2.83,2,4,60,60,13,Strategy,Thematic
342942,Ark Nova,8.35,8.54,54162,58.99,71.81,2021,3.79,1,4,90,150,14,Strategy,
174430,Gloomhaven,8.32,8.56,65342,187.75,,2017,3.92,1,4,60,120,14,Strategy,Thematic
233078,Twilight Imperium: Fourth Edition,8.227,8.57,26571,151.99,131.99,2017,4.33,3,6,240,480,14,Strategy,Thematic
316554,Dune: Imperium,8.225,8.42,53736,44.99,54.95,2020,3.07,1,4,60,120,14,Strategy,
167791,Terraforming Mars,8.198,8.35,107698,59.47,79.99,2016,3.27,1,5,120,120,12,Strategy,
115746,War of the Ring: Second Edition,8.193,8.55,23645,89.97,94.58,2011,4.22,2,4,150,240,13,Thematic,Wargames
187645,Star Wars: Rebellion,8.17,8.42,34906,95.99,109.99,2016,3.75,2,4,180,240,14,Thematic,
,Dune: Imperium â€“ Uprising,8.153,8.71,13203,,56.4,2023,3.5,1,6,60,120,13,Strategy,
162886,Spirit Island,8.141,8.34,58635,48.97,64.99,2017,4.08,1,4,90,120,13,Strategy,
291457,Gloomhaven: Jaws of the Lion,8.12,8.38,38506,49.99,59.95,2020,3.64,1,4,30,120,14,Strategy,Thematic
220308,Gaia Project,8.095,8.36,29773,79.97,99.92,2017,4.4,1,4,60,150,12,Strategy,
12333,Twilight Struggle,8.051,8.24,50832,58.99,65.4,2005,3.61,2,2,120,180,13,Strategy,Wargames
182028,Through the Ages: A New Story of Civilization,8.031,8.26,33666,69.95,79.99,2015,4.44,2,4,120,120,14,Strategy,
84876,The Castles of Burgundy,8.022,8.15,66626,34.39,399.99,2011,2.97,2,4,30,90,12,Strategy,
193738,Great Western Trail,7.994,8.17,42761,35.46,42.74,2016,3.7,2,4,75,150,12,Strategy,
246900,Eclipse: Second Dawn for the Galaxy,7.966,8.41,15929,179.99,225,2020,3.65,2,6,60,200,14,Strategy,
169786,Scythe,7.964,8.12,89612,84,84,2016,3.45,1,5,90,115,14,Strategy,
173346,7 Wonders Duel,7.961,8.09,103444,29.59,32.55,2015,2.23,2,2,30,30,10,Strategy,
28720,Brass: Lancashire,7.961,8.2,26351,39.99,69.6,2007,3.85,2,4,60,120,14,Strategy,
,Frosthaven,7.957,8.77,8953,,199,2022,4.41,1,4,90,180,14,Strategy,Thematic
167355,Nemesis,7.949,8.25,34668,127.99,143.99,2018,3.48,1,5,90,180,12,Thematic,
,Clank! Legacy: Acquisitions Incorporated,7.944,8.51,10635,,159.99,2019,2.74,2,4,90,120,13,Thematic,
177736,A Feast for Odin,7.943,8.17,31576,87.99,,2016,3.86,1,4,30,120,12,Strategy,
124361,Concordia,7.932,8.08,43320,48.97,49,2013,2.99,2,5,100,100,13,Strategy,
,Great Western Trail: Second Edition,7.905,8.29,15991,,66.52,2021,3.71,1,4,75,150,12,Strategy,
312484,Lost Ruins of Arnak,7.902,8.07,51675,49.95,59.99,2020,2.93,1,4,30,120,12,Strategy,
205637,Arkham Horror: The Card Game,7.898,8.13,46125,55.99,48.9,2016,3.56,1,2,60,120,14,Customizable,Thematic
237182,Root,7.884,8.07,59108,48,47.24,2018,3.83,2,4,60,90,14,Strategy,Wargames
192135,Too Many Bones,7.873,8.32,15810,134.99,154.8,2017,3.86,1,4,60,120,12,Strategy,Thematic
