Title,Geek rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Min age,Type 1,Type 2
Brass: Birmingham,8.401,8.58,53268,69.95,2018.0,3.87,2.0,4.0,60.0,120.0,14.0,Strategy,
Pandemic Legacy: Season 1,8.359,8.51,55994,79.83,2015.0,2.83,2.0,4.0,60.0,60.0,13.0,Strategy,Thematic
Ark Nova,8.35,8.54,54162,71.81,2021.0,3.79,1.0,4.0,90.0,150.0,14.0,Strategy,
Gloomhaven,8.32,8.56,65342,,2017.0,3.92,1.0,4.0,60.0,120.0,14.0,Strategy,Thematic
Twilight Imperium: Fourth Edition,8.227,8.57,26571,131.99,2017.0,4.33,3.0,6.0,240.0,480.0,14.0,Strategy,Thematic
Dune: Imperium,8.225,8.42,53736,54.95,2020.0,3.07,1.0,4.0,60.0,120.0,14.0,Strategy,
Terraforming Mars,8.198,8.35,107698,79.99,2016.0,3.27,1.0,5.0,120.0,120.0,12.0,Strategy,
War of the Ring: Second Edition,8.193,8.55,23645,94.58,2011.0,4.22,2.0,4.0,150.0,240.0,13.0,Thematic,Wargames
Star Wars: Rebellion,8.17,8.42,34906,109.99,2016.0,3.75,2.0,4.0,180.0,240.0,14.0,Thematic,
Dune: Imperium – Uprising,8.153,8.71,13203,56.4,2023.0,3.5,1.0,6.0,60.0,120.0,13.0,Strategy,
Spirit Island,8.141,8.34,58635,64.99,2017.0,4.08,1.0,4.0,90.0,120.0,13.0,Strategy,
Gloomhaven: Jaws of the Lion,8.12,8.38,38506,59.95,2020.0,3.64,1.0,4.0,30.0,120.0,14.0,Strategy,Thematic
Gaia Project,8.095,8.36,29773,99.92,2017.0,4.4,1.0,4.0,60.0,150.0,12.0,Strategy,
Twilight Struggle,8.051,8.24,50832,65.4,2005.0,3.61,2.0,2.0,120.0,180.0,13.0,Strategy,Wargames
Through the Ages: A New Story of Civilization,8.031,8.26,33666,79.99,2015.0,4.44,2.0,4.0,120.0,120.0,14.0,Strategy,
The Castles of Burgundy,8.022,8.15,66626,399.99,2011.0,2.97,2.0,4.0,30.0,90.0,12.0,Strategy,
Great Western Trail,7.994,8.17,42761,42.74,2016.0,3.7,2.0,4.0,75.0,150.0,12.0,Strategy,
Eclipse: Second Dawn for the Galaxy,7.966,8.41,15929,225.0,2020.0,3.65,2.0,6.0,60.0,200.0,14.0,Strategy,
Scythe,7.964,8.12,89612,84.0,2016.0,3.45,1.0,5.0,90.0,115.0,14.0,Strategy,
7 Wonders Duel,7.961,8.09,103444,32.55,2015.0,2.23,2.0,2.0,30.0,30.0,10.0,Strategy,
Brass: Lancashire,7.961,8.2,26351,69.6,2007.0,3.85,2.0,4.0,60.0,120.0,14.0,Strategy,
Frosthaven,7.957,8.77,8953,199.0,2022.0,4.41,1.0,4.0,90.0,180.0,14.0,Strategy,Thematic
Nemesis,7.949,8.25,34668,143.99,2018.0,3.48,1.0,5.0,90.0,180.0,12.0,Thematic,
Clank! Legacy: Acquisitions Incorporated,7.944,8.51,10635,159.99,2019.0,2.74,2.0,4.0,90.0,120.0,13.0,Thematic,
A Feast for Odin,7.943,8.17,31576,,2016.0,3.86,1.0,4.0,30.0,120.0,12.0,Strategy,
Concordia,7.932,8.08,43320,49.0,2013.0,2.99,2.0,5.0,100.0,100.0,13.0,Strategy,
Great Western Trail: Second Edition,7.905,8.29,15991,66.52,2021.0,3.71,1.0,4.0,75.0,150.0,12.0,Strategy,
Lost Ruins of Arnak,7.902,8.07,51675,59.99,2020.0,2.93,1.0,4.0,30.0,120.0,12.0,Strategy,
Arkham Horror: The Card Game,7.898,8.13,46125,48.9,2016.0,3.56,1.0,2.0,60.0,120.0,14.0,Customizable,Thematic
Root,7.884,8.07,59108,47.24,2018.0,3.83,2.0,4.0,60.0,90.0,14.0,Strategy,Wargames
Too Many Bones,7.873,8.32,15810,154.8,2017.0,3.86,1.0,4.0,60.0,120.0,12.0,Strategy,Thematic
The Lord of the Rings: Duel for Middle-earth,7.871,8.38,12474,39.99,2024.0,2.07,2.0,2.0,30.0,45.0,10.0,Strategy,
Terra Mystica,7.869,8.04,49872,79.7,2012.0,3.98,2.0,5.0,60.0,150.0,12.0,Strategy,
Sky Team,7.866,8.16,23047,30.49,2023.0,2.04,2.0,2.0,20.0,20.0,10.0,Family,Thematic
Wingspan,7.863,8.01,105254,55.0,2019.0,2.47,1.0,5.0,40.0,70.0,10.0,Family,Strategy
Orléans,7.861,8.05,34046,,2014.0,3.01,2.0,5.0,90.0,90.0,12.0,Strategy,
Slay the Spire: The Board Game,7.845,8.69,7897,114.99,2024.0,2.92,1.0,4.0,30.0,150.0,12.0,Strategy,
Mage Knight Board Game,7.842,8.08,34460,84.99,2011.0,4.37,1.0,4.0,60.0,240.0,14.0,Strategy,Thematic
Barrage,7.842,8.15,20122,199.99,2019.0,4.12,1.0,4.0,90.0,180.0,14.0,Strategy,
SETI: Search for Extraterrestrial Intelligence,7.836,8.39,11391,,2024.0,3.78,1.0,4.0,40.0,160.0,14.0,Strategy,
Everdell,7.822,8.0,63193,,2018.0,2.83,1.0,4.0,40.0,80.0,10.0,Family,Strategy
The Crew: Mission Deep Sea,7.822,8.08,22505,14.95,2021.0,2.04,2.0,5.0,20.0,20.0,10.0,Family,Strategy
Viticulture Essential Edition,7.819,7.97,52773,52.0,2015.0,2.89,1.0,6.0,45.0,90.0,13.0,Strategy,
Hegemony: Lead Your Class to Victory,7.809,8.42,10078,75.04,2023.0,4.22,2.0,4.0,90.0,180.0,14.0,Strategy,
Heat: Pedal to the Metal,7.796,8.02,34108,67.94,2022.0,2.2,1.0,6.0,30.0,60.0,10.0,Family,
Marvel Champions: The Card Game,7.792,8.11,26286,48.99,2019.0,2.95,1.0,4.0,45.0,90.0,14.0,Customizable,
Crokinole,7.791,8.06,19973,108.99,1876.0,1.22,2.0,4.0,30.0,30.0,8.0,Family,
Kanban EV,7.788,8.39,9220,119.99,2020.0,4.3,1.0,4.0,60.0,180.0,14.0,Strategy,
Food Chain Magnate,7.78,8.04,21971,127.95,2015.0,4.19,2.0,5.0,120.0,240.0,14.0,Strategy,
Underwater Cities,7.775,8.05,21674,64.84,2018.0,3.58,1.0,4.0,80.0,150.0,12.0,Strategy,
Pax Pamir: Second Edition,7.775,8.14,16305,67.66,2019.0,3.85,1.0,5.0,45.0,120.0,13.0,Strategy,
Puerto Rico,7.761,7.9,72976,49.99,2002.0,3.27,3.0,5.0,90.0,150.0,12.0,Strategy,
Cthulhu: Death May Die,7.755,8.19,15368,,2019.0,2.49,1.0,5.0,90.0,120.0,14.0,Thematic,
Cascadia,7.75,7.91,48997,37.95,2021.0,1.85,1.0,4.0,30.0,45.0,10.0,Abstract,Family
Caverna: The Cave Farmers,7.744,7.93,36447,,2013.0,3.77,1.0,7.0,30.0,210.0,12.0,Strategy,
Pandemic Legacy: Season 0,7.744,8.36,8893,71.99,2020.0,3.16,2.0,4.0,45.0,60.0,14.0,Strategy,Thematic
On Mars,7.744,8.17,14025,111.99,2020.0,4.63,1.0,4.0,90.0,150.0,14.0,Strategy,
Anachrony,7.742,8.05,20505,,2017.0,4.0,1.0,4.0,30.0,120.0,15.0,Strategy,
Blood Rage,7.735,7.91,50060,74.0,2015.0,2.88,2.0,4.0,60.0,90.0,14.0,Strategy,
Agricola,7.733,7.86,75219,,2007.0,3.63,1.0,5.0,30.0,150.0,12.0,Strategy,
Age of Innovation,7.733,8.52,7006,86.99,2023.0,4.26,1.0,5.0,40.0,200.0,14.0,Strategy,
Oathsworn: Into the Deepwood,7.723,8.83,6136,349.99,2022.0,3.69,1.0,4.0,30.0,90.0,14.0,Thematic,
Lisboa,7.712,8.18,12203,119.99,2017.0,4.57,1.0,4.0,60.0,120.0,12.0,Strategy,
Sleeping Gods,7.71,8.13,14517,82.95,2021.0,3.25,1.0,4.0,60.0,120.0,13.0,Thematic,
Obsession,7.708,8.09,15930,,2018.0,3.1,1.0,4.0,30.0,90.0,14.0,Strategy,Thematic
Grand Austria Hotel,7.707,7.96,23445,59.33,2015.0,3.2,2.0,4.0,60.0,120.0,12.0,Strategy,
Pandemic Legacy: Season 2,7.702,8.02,17798,75.46,2017.0,3.25,2.0,4.0,60.0,60.0,14.0,Strategy,Thematic
Clank!: Catacombs,7.699,8.25,10388,66.0,2022.0,2.5,2.0,4.0,45.0,90.0,13.0,Family,Strategy
Mansions of Madness: Second Edition,7.691,7.93,38871,87.99,2016.0,2.7,1.0,5.0,120.0,180.0,14.0,Thematic,
Tzolk'in: The Mayan Calendar,7.688,7.85,41249,58.98,2012.0,3.66,2.0,4.0,90.0,90.0,13.0,Strategy,
Power Grid,7.686,7.8,67967,41.57,2004.0,3.25,2.0,6.0,120.0,120.0,12.0,Strategy,
Harmonies,7.679,8.03,19377,39.99,2024.0,2.0,1.0,4.0,30.0,45.0,10.0,Family,
Quacks,7.671,7.81,55626,86.25,2018.0,1.94,2.0,4.0,45.0,45.0,10.0,Family,
Clans of Caledonia,7.669,7.93,21579,,2017.0,3.47,1.0,4.0,30.0,120.0,12.0,Strategy,
Paladins of the West Kingdom,7.668,7.96,19519,52.47,2019.0,3.72,1.0,4.0,90.0,120.0,12.0,Strategy,
Le Havre,7.665,7.84,33069,72.99,2008.0,3.71,1.0,5.0,30.0,150.0,12.0,Strategy,
The Gallerist,7.665,8.01,15803,103.99,2015.0,4.22,1.0,4.0,60.0,150.0,13.0,Strategy,
Ticket to Ride Legacy: Legends of the West,7.663,8.67,5203,107.66,2023.0,2.58,2.0,5.0,20.0,90.0,10.0,Family,
Maracaibo,7.66,7.97,17910,73.69,2019.0,3.91,1.0,4.0,30.0,120.0,12.0,Strategy,
Star Wars: Imperial Assault,7.659,7.96,25449,109.04,2014.0,3.3,2.0,5.0,60.0,120.0,14.0,Thematic,
Android: Netrunner,7.657,7.89,30906,,2012.0,3.41,2.0,2.0,45.0,45.0,14.0,Customizable,
Agricola (Revised Edition),7.647,7.95,20001,55.25,2016.0,3.44,1.0,4.0,30.0,120.0,12.0,Strategy,
