Rank,BGGid,Name,Price
12099,328289,Kannste Knicken,18.71
12156,7169,Heroes of the Soviet Union:  The Defense of Mother Russia 1942-43,34.94
12191,11084,Jumbo & Co,8.18
12201,6979,Match of the Penguins,7.15
12227,85826,Kursk: Burning Tigers – A Panzer Grenadier Game,106.57
12277,237715,Castle Climbing Frog,31.71
12291,124290,Open Sesame,17.5
12296,329529,Magellan: Elcano,19.99
12343,330560,Bunte Blätter,8.18
12408,288276,Tough Calls: Dystopia,25.58
12501,182406,Sealion: The Proposed German Invasion of England,84.07
12534,236365,TOKYO JIDOHANBAIKI,31.99
12575,137328,Monster Café,18.27
12668,25994,Sea Lords on the Mekong Delta,47.16
12891,321305,Crime Zoom: A Bird of Ill Omen,12
12894,213631,"To Unlimited, and Beyond",23.33
12906,329613,Paper Apps: Dungeon,9.99
13008,274442,hexaGONE,15.64
13034,335541,We Care: a Grizzled Game,9.99
13054,42256,Cold War Battles 2: Pentomic Wurzburg & Kabul '79,33.68
13103,124034,"Position Magnifique: The Battle of Mars-la-Tour, 1870",43.85
13130,60682,Gift Trap mini,24.95
13132,275817,Yum Yum Island,27.77
13180,264843,El Maestro,18.27
13265,280742,Godzilla Total War,12.86
13414,150599,Takara Island,32.63
13431,146152,Flash 10,10.47
13478,295571,Deckscape Crew vs Crew: The Pirates' Island,10.97
13502,271043,UNDO: Blood in the Gutter,10.97
13517,314009,Pirate Legends,33.86
13535,200871,Hanna Honeybee,29.99
13540,283849,The Only Word: the Party Word Game,22.11
13637,322148,Pocket Detective: Die Bombe tickt,5.83
13663,185244,Autumn,10.47
13678,9790,Triumph & Fall of the Desert Fox,7.29
13687,186980,Holdfast: North Africa 1941-42,65.79
13708,119193,Crazy Creatures of Dr. Gloom,10.94
13723,41305,Orchard: The Card Game,13.54
13732,218615,Tropico,13.14
13742,320677,Noch mal!: Kids,19.88
13759,276832,Fantasy Ranch,70.13
13767,26124,Draco Mundis,19.95
13813,13436,Hopp hopp Häschen,23.22
13892,295646,Spyfest,19.99
13927,269756,3 Secrets: Crime Time,10.97
14125,33958,Rapscallion,39.99
14139,146157,30 Seconds Junior,30.98
14153,171475,Särge schubsen,9.48
14307,198044,Sign,16
14357,3081,Rubik's Flip,10.91
14388,296353,Color It!,13.99
14460,117555,CLACK!,19.99
14634,300090,Rose Ceremony,4.99
14668,283699,Towers of Am'harb,40
14717,2843,Absacker,8.94
14761,107464,Kabuki,16.45
14762,10716,Kemps,4.56
14848,296354,In a Flash Firefighters,11.58
14850,1171,Ricochet,23.28
14854,28238,Kitty Bitty,28.47
14923,300094,Droll,26.18
14974,342209,echoes: The Microchip,9.97
15009,235455,Somnicum,29.83
15116,267832,Blanc-Manger Coco 2: Le déluge,24.45
15142,37686,Où étiez-vous?,9.3
15162,33664,"Red Dragon, Blue Dragon: The Huaihai, 1948-1949",29.24
15385,190330,In Your Head,14.62
15386,5707,Cuckoo Zoo,11.69
15472,242523,Dolly Crush,12.41
15533,150422,"Bloody Ridge: Guadalcanal, 12-14 September 1942",57.97
15561,192352,Super-Vampire,34.74
15582,216301,Scotland Yard: Das Kartenspiel,11.64
15631,179561,Black Stories: Das Verhör,22.16
15636,3305,Anticipation,31.31
15678,131895,Holyland: Full Spectrum Warfare in the Middle East,78.21
15839,126771,Moo's Code,9.89
15944,41860,Kangaroo,19.77
16048,146161,Arche Noah,16.95
16113,216695,Blindes Huhn extrem,11.11
16181,91394,Ring-A-Ding-Ding,16.96
16323,266744,Rick and Morty: Look Who's Purging Now Card Game,15
16392,51067,Monopoly: The Nightmare Before Christmas,41
16418,73360,Soft Underbelly: The War in Southern Italy 1943,37.72
16529,163478,Lunte,10.22
16629,291957,Canal King Brugge,29.17
16651,27155,J'te Gage Que...,12.38
16692,242550,Wobble King,12.07
16718,156358,The Black Rose,29.23
16831,22123,Enkounter,38.02
16857,223762,Atari's Missile Command,37.43
16859,104809,Kleiner Obstgarten,7.47
16940,169459,The Princess Bride: A Battle of Wits,21.99
16987,111327,Black Stories: Christmas Edition,16.55
17090,135851,Connect the Thoughts,10.94
17169,194034,Fire! Fire! Fire Fighters!,11.99
17181,206082,Eye Sea,10.47
17257,18613,"Khan: The Rise of the Mongol Empire, A.D. 1206-1295",53.91
17474,176502,Awesome Kingdom: The Tower of Hateskull,22.5
17492,159858,Speakeasy,26.97
17528,237712,Floppy Ears,9.44
17538,142517,Grabolo,12.75
17567,128290,SET Junior,19.77
17624,93041,Guilty Gods,7.01
17666,191512,Kuhno,10.22
17673,542,Animocrazy ????,29.23
17676,2701,Schuss und Tor,5
17703,274906,Scram,7.47
17727,269624,Barnyard Bunch,19.99
17823,67429,Shapes & Colors,26.78
17871,153168,Karten Kniffel,10.28
18059,6449,"Murder à la carte: Pasta, Passion & Pistols",23.84
18067,1397,Crash Pilot,3.67
18172,119472,Konito?,11.64
18191,11751,No Peeking!,8
18218,41783,Hochstapler,26.89
18239,12057,Mini Funny Bunny,6.95
18256,119500,Wanna Bet?,15.5
18283,39389,Turtle Shells,16.37
18295,57276,Crazy Dancing,13.92
18354,241083,City Explorer: Kyoto,12.97
18417,136856,Simsala Hopp,10.51
18447,209284,Hamster Clan,20
18465,21577,M is for Mouse,6.39
18593,9211,Screwball Scramble,27.17
18644,137152,Mucca Pazza,35.03
18733,28053,Tunnelz,11.95
