Rank,BGGid,Name,Price
13928,30261,Bushwhackin' Varmints out of Sergio's Butte,12
13930,88402,Crappy Birthday,11.19
13932,244080,Fenix,28.99
13933,11707,USN Deluxe,48.95
13934,7708,Hisss,10.45
13935,21479,Knight Moves,15
13943,194231,Poker Assault,12.76
13948,1110,Kathai,9.39
13952,227265,Kleiner Fuchs Tierarzt,7.03
13953,327371,Psycho Killer,23.62
13954,5055,The Great War 1914-1918,76.96
13972,256233,Mountains,13.34
13974,1210,Cults Across America,30.45
13975,286247,Hedgehog Hop,11.6
13977,69233,Schloss Schlotterstein: Das Kartenspiel,39.95
13981,186265,Minecraft Card Game?,37.03
13986,260238,Claim Kingdoms,19.95
13988,5135,Malarky,12.67
13989,289018,On a Scale of One to T-Rex,19.99
13990,1632,Shapeshifters,5.75
13993,327062,Popcorn Dice,11.99
13997,56410,Activity kompakt,21.11
14007,273937,Mopsen,11.28
14009,199800,Hatflings!,5.86
14011,300081,Hideous Abomination,29.29
14016,324885,Das NEINhorn,16.37
14017,94123,The Forgotten Planet,21.13
14019,219502,Templars' Journey,35.2
14022,251622,Moneybags,36.59
14024,9849,Ardennes 1944,20.2
14029,305564,Anchorman: The Game – Improper Teleprompter,19.99
14030,35508,Chainmail,31.95
14034,303621,Tiny Acrobats,34.39
14035,159384,Medieval Battle,35.16
14037,258783,Into the Black Forest,20
14041,257205,Hasp,3.76
14044,233144,Manipulate,32.14
14047,276880,Frenemy Pastry Party,24.95
14049,230488,Hexcalibur,17.6
14050,116739,Decision: Iraq,44.52
14053,41496,Chickyboom,32.99
14054,3725,Qwitch,4.05
14060,188793,Game of Thrones: The Trivia Game,22.79
14063,6024,"Warsaw Rising: Revolt of the Polish Underground, 1944",18.84
14071,9863,Champs de Bataille III: D'Alexandre à Hannibal,20.2
14073,120781,Wild Fun West,21.01
14074,204892,You Gotta Be Kitten Me!,7.47
14076,187199,MiG Alley: Air War Over Korea 1951,20.2
14078,130014,Hinge of Fate,58.04
14079,7522,Wave of Terror,33.71
14080,4010,Bodyguard Overlord,40.46
14090,28817,Blindes Huhn,5.86
14091,486,Barnyard Buddies,8.35
14100,196634,Nightmare Forest: Alien Invasion,24.99
14101,236713,Sea of Plunder,27
14104,29691,Look Away!,51.27
14107,26795,Day of the Chariot: Kadesh,26.95
14108,282224,Cinephile,20
14110,217424,Tenno,8.28
14112,145578,CLUE: The Big Bang Theory,36.61
14119,266769,Jinja,42.99
14120,228889,Helios Expanse,29.27
14123,104558,Burdigala,29.26
14124,158267,Double Feature,26.88
14127,316090,Vivid Memories,35.97
14128,12455,Attila: Scourge O'God,26.95
14130,244609,Flick Fleck,19.99
14137,1875,Isolation,0.38
14142,170423,Comment j'ai adopté un gnou,15.84
14144,311708,Oracle,19.84
