Rank,BGGid,Name,Price
63,244521,The Quacks of Quedlinburg,44.99
69,121921,Robinson Crusoe: Adventures on the Cursed Island,45.99
192,109276,Kanban: Driver's Edition,125
208,128621,Viticulture,64.28
232,269207,The Taverns of Tiefenthal,44.99
236,144344,Rococo,36.99
257,203420,Exit: The Game – The Abandoned Cabin,15.14
276,40692,Small World,82.81
353,195539,The Godfather: Corleone's Empire,219.37
372,269210,Twice as Clever!,18.97
383,128671,Spartacus: A Game of Blood and Treachery,40.94
425,226522,Exit: The Game – Dead Man on the Orient Express,15.14
428,478,Citadels,32.69
488,128780,Pax Porfiriana,44.97
551,130960,Triumph & Tragedy: European Balance of Power 1936-1945,122.83
577,203416,Exit: The Game – The Pharaoh's Tomb,15.14
581,155624,Specter Ops,50.13
584,20963,Fury of Dracula (Second Edition),41.95
586,160495,ZhanGuo,71.39
623,167400,Ashes Reborn: Rise of the Phoenixborn,34.89
632,69789,Ascension: Deckbuilding Game,46.73
643,137988,Zombicide Season 2: Prison Outbreak,79.99
674,203417,Exit: The Game – The Secret Lab,15.14
694,24800,Conflict of Heroes: Awakening the Bear! – Russia 1941-42,135.64
721,45,Perudo,14.39
745,156689,Legendary: A Marvel Deck Building Game – Villains,52.64
755,132028,Conflict of Heroes: Awakening the Bear! – Operation Barbarossa 1941 (Second Edition),60.98
764,122298,Morels,11.39
773,9440,Maharaja: The Game of Palace Building in India,58.37
835,171669,Discoveries: The Journals of Lewis & Clark,31.99
841,158275,Marvel Dice Masters: Uncanny X-Men,0.01
846,235488,Istanbul: The Dice Game,24.47
869,210296,DinoGenics,52.52
918,130176,Tales & Games: The Hare & the Tortoise,18.88
975,216092,Unlock!: Escape Adventures – Squeek & Sausage,11.99
1055,226520,Exit: The Game – The Sinister Mansion,15.14
1062,38159,Ultimate Werewolf: Ultimate Edition,19.87
1069,173101,Council of 4,41.99
1088,293296,Splendor: Marvel,43.99
1104,131014,Carcassonne: Winter Edition,28.64
1126,226518,Exit: The Game – The Sunken Treasure,16.26
1151,129736,Cockroach Poker Royal,15.03
1156,215841,Exit: The Game – The Forgotten Island,13.47
1165,83195,Ghost Blitz,18.71
1169,216091,Unlock!: Escape Adventures – The Formula,13.49
1176,10640,Doom: The Boardgame,116.92
1184,206803,Warsaw: City of Ruins,22.99
1197,215842,Exit: The Game – The Polar Station,13.49
1220,113401,Timeline: Events,7.99
1227,9446,Blue Moon,23.39
1253,1403,Turn the Tide,8.5
1257,244918,Exit: The Game – The Mysterious Museum,15.14
1260,163474,V-Sabotage,67.73
1282,148943,Coup: Rebellion G54,21.99
1292,131325,Timeline: General Interest,14.84
1295,24827,Traders of Osaka,17.45
1337,201,The Rose King,24.2
1346,131111,Codex: Card-Time Strategy – Deluxe Set,51.16
1367,38863,Hab & Gut,46.01
1381,5206,Ogre,32.99
1384,215840,Exit: The Game – The Forbidden Castle,13.47
1419,230303,Unlock!: Mystery Adventures – The House on the Hill,14.61
1434,99975,Timeline: Discoveries,10.49
1451,138649,DC Comics Dice Masters: Justice League,16.86
1452,29937,König von Siam,31.75
1484,136280,La Boca,89.99
1497,22348,Duplik,18.27
1509,8129,Sluff Off!,19.95
1520,230305,Unlock!: Mystery Adventures – The Tonipal's Treasure,17.18
1522,32125,Felicity: The Cat in the Sack,10.45
1528,1662,"Napoléon: The Waterloo Campaign, 1815",110.62
1533,71074,Expedition: Northwest Passage,80.42
1534,155255,Pax Pamir,113.32
1539,41010,Carcassonne Junior,30.35
1547,268620,Similo,8.49
1552,57660,Time's Up! Edición Azul,11.58
1555,38713,Time's Up! Edición Amarilla,21.59
1605,245931,Neta-Tanka: Deluxe Edition,40.2
1656,202977,Cytosis: A Cell Biology Board Game,39.99
1706,398,Wildlife Safari,17.97
1725,9441,Ribbit,25.45
1730,230791,Time of Legends: Joan of Arc,129
1773,16772,Mall of Horror,34.95
1803,269968,Exit: The Game – The Haunted Roller Coaster,13.47
1853,12005,Around the World in 80 Days,25.99
1869,128898,New Amsterdam,44.45
1896,198287,Legends of Andor: The Last Hope,42.99
1924,243430,Dealt!,8.13
1959,17025,Friday the 13th,11.69
1984,22143,EastFront: The War in Russia 1941-45 – Second Edition,141.49
2006,191004,My First Stone Age,31.99
2017,216094,Unlock!: Escape Adventures – The Island of Doctor Goorse,11.99
2079,283934,Exit: The Game – Theft on the Mississippi,11.47
2083,131835,Boss Monster: The Dungeon Building Card Game,17.76
2084,234621,Tybor the Builder,11.1
2089,130060,Ohne Furcht und Adel,16.31
2091,118705,Ghost Blitz 2,17.48
2092,39206,Tac Tac Jack,23.95
2110,40381,Modern Art Card Game,19.99
2118,245045,Deckscape: Heist in Venice,10.49
2191,119637,Zug um Zug: Deutschland,61.94
2194,125046,Fantastiqa: The Rucksack Edition,45.69
2242,3972,Catan: Portable Edition,47.99
2253,181960,Portal of Heroes,14.69
2254,105593,Cheating Moth,9.77
2289,266964,Dice Throne: Season Two – Seraph v. Vampire Lord,21.99
2294,226519,Exit: The Game – The House of Riddles,10.99
2317,285894,Bravo!,18.97
2345,149809,Escape: Zombie City,41.99
2381,8172,Coyote,11.71
2388,175,What the Heck?,7.25
2427,212765,Songbirds,14.47
2430,130486,Small City,70.13
2522,280132,Robin of Locksley,23.33
2571,68076,Conflict of Heroes: Guadalcanal – The Pacific 1942,89.49
2583,225482,Texas Showdown,9.3
2594,181761,Plums,10.99
2605,7806,King Up!,25
2614,297895,Divvy Dice,18.97
2656,24509,Gambit Royale,18.99
2671,224316,Unlock!: Escape Adventures – The Elite,29.14
2702,235344,TOKYO METRO,50
2714,227466,Break the Code,14.99
2722,148532,Ghost Blitz: 5 to 12,30.29
2726,130792,The Enchanted Tower,13.44
2752,117942,Zooloretto: The Dice Game,14.03
2755,152237,Pairs,8.77
2770,235655,Dragon's Breath,24.99
2779,205907,Runewars Miniatures Game,39.99
2847,287742,TIME Stories Revolution: The Hadal Project,23
2869,12346,Spooky Stairs,37.77
2874,179245,World Championship Russian Roulette,29.23
2877,102148,NOIR: Deductive Mystery Game,11.99
2890,22278,12 Thieves,31
2897,293531,Detective: A Modern Crime Board Game – Season One,16.99
2899,190639,Zany Penguins,14.63
2921,247436,Sherlock: The Tomb of the Archaeologist,8.2
2929,120605,Neuroshima: Convoy,11.99
2985,202755,Guildhall Fantasy: Fellowship,20.95
2991,84889,Cave Evil,257.31
3003,85769,Panzer: The Game of Small Unit Actions and Combined Arms Operations on the Eastern Front 1943-45,63.99
3038,176803,Overseers,14
3052,30356,Heartland,27.99
3053,135116,Rent a Hero,14.62
3067,231991,Firefly Adventures: Brigands and Browncoats,47.97
3080,46158,Time's Up! Academy,108.78
3102,200171,Legendary: Big Trouble in Little China,48.98
3109,3141,The Bucket King,19.45
3118,24070,Afrika: 2nd Edition,20.95
3124,22287,Buccaneer,20.95
3165,173294,DC Comics Dice Masters: War of Light,22.73
3169,292034,Funkoverse Strategy Game: DC Comics 100,53.91
3225,154634,Yardmaster,13.54
3229,295488,Andor: The Family Fantasy Game,39.79
3236,258412,Unlock!: Exotic Adventures – Night of the Boogeymen,11.99
3267,258104,Tribes: Dawn of Humanity,37.47
3279,56933,Penguin Party,16.81
3285,193512,Kingdom Defenders,54.92
3318,258411,Unlock!: Exotic Adventures – Expedition: Challenger,11.99
3334,92120,Atlantis Rising,69.45
3339,192297,America,18.27
3372,129156,"Celles: The Ardennes, December 23-27, 1944",40.41
3427,153425,North Wind,34.99
3450,25823,Cartagena 2. The Pirate's Nest,19.95
3486,37728,Rock the Beat,13.14
3535,298281,Exit: The Game + Puzzle – The Sacred Temple,19.99
3567,222887,Twin It!,16.07
3584,317372,Exit: The Game – The Gate Between Worlds,11.47
3612,252693,Batman: The Animated Series – Gotham City Under Siege,29.99
3660,178892,Vs System 2PCG: The Marvel Battles,58.49
3665,266460,Yinzi,106.45
3670,258413,Unlock!: Exotic Adventures – Scheherazade's Last Tale,11.99
3698,137909,Bugs in the Kitchen,20.61
3719,154905,Brew Crafters: Travel Card Game,7.5
3733,127312,Enigma,31.49
3743,277030,1824: Austrian-Hungarian Railway (Second Edition),99.67
3782,206156,SUPERHOT: The Card Game,13.97
3786,146149,Quick Cups,13.59
3814,129556,Tapple,19.99
3821,854,Doge,32.99
3835,2448,Kalah,16.99
3838,8946,Da Vinci Code,9.45
3845,66120,Zooloretto Junior,23.28
3860,293959,"Men of Iron Battles Tri-pack: Men of Iron, Infidel, Blood & Roses",98.7
3871,236239,"Battles of the American Revolution Tri-pack: Guilford, Saratoga, Brandywine",48.47
3891,154880,Voodoo,16.31
3944,310789,Catapult Feud,42.1
3945,233974,Sundae Split,13.45
3947,130680,iKNOW,35.36
3973,206175,Braintopia,11.99
3976,159406,Portal: The Uncooperative Cake Acquisition Game,45.58
4000,106999,Coney Island,29.24
4040,5825,Paris Paris,16.49
4048,103091,Catan Histories: Merchants of Europe,44
4058,217321,Déjà Vu,0.59
4065,270956,The Court of Miracles,32
4071,111502,Star Trek Deck Building Game: The Next Generation – Next Phase,33.68
4112,121193,Cover Your Assets,15.14
4115,29355,Würfel Bingo,17.48
4190,263192,Teenage Mutant Ninja Turtles Adventures: Change is Constant,93.99
4192,1376,Serengeti,7.67
4210,266445,Sherlock: Propagation,10.41
4238,20750,Black Stories 2,13.97
4269,254588,Hearts and Minds: Vietnam 1965-1975 (Third Edition),62.14
4379,230304,Unlock!: Mystery Adventures – The Nautilus' Traps,36.06
4395,3383,Mahé,32.69
4413,155496,Holdfast: Russia 1941-42,63.6
4425,147614,Crazy Time,12.8
4429,24770,Quietville,8.45
4446,298282,Exit: The Game + Puzzle – The Deserted Lighthouse,19.99
4456,117995,"Spot it! 1,2,3",8.79
4471,155827,Krosmaster: Quest,65.79
4477,180543,"Exceed: Red Horizon – Reese, Heidi, Nehtali, and Vincent",21.92
4487,132497,Lift it!,24.47
4504,165877,Spellcaster,12
4518,198110,Kreus,21.25
4553,253379,Cosmic Factory,25.58
4600,186302,Die Fiesen 7,11.64
4605,320527,Dice Throne: Season One ReRolled – Treant v. Ninja,30
4613,275589,Pocket Detective,8.42
4626,126750,Sky Tango,14.95
4681,19419,Euphrates & Tigris: Contest of Kings,18
4692,1899,13 Dead End Drive,29.12
4729,86177,Genesis: Empires and Kingdoms of the Ancient Middle East,62.14
4750,191071,Mino Dice,26.32
4753,220738,Topito,27.32
4812,950,Four Dragons,8.95
4827,150013,No Retreat! Italian Front: 1943-45,117.37
4864,16804,Eastern Front: A Panzer Grenadier Game,51.7
4919,13230,Gobblet Gobblers,21.99
4949,91671,Da ist der Wurm drin,32.99
4953,12830,Cellar des Triplettes ????,14.45
4966,284291,Bloom Town,33.34
5029,299172,The Key: Murder at the Oakdale Club,29.99
5030,257145,Teenage Mutant Ninja Turtles Adventures: City Fall,93.99
5036,218126,Whozit?,19.3
5061,34166,Finito!,12.38
5078,31808,GUBS: A Game of Wit and Luck,13.45
5098,15261,"Trump, Tricks, Game!",10.41
5103,10527,Gyges,53.69
5104,344,Members Only,32
5128,205164,Old School Tactical: Volume 2 – West Front 1944/45,14.62
5145,259537,Saint Seiya: Deckbuilding,40.82
5157,208808,Cinco Linko,16.17
5192,83197,Zen Master,7.01
5194,82955,1655: Habemus Papam,16.37
5205,246873,"Königsberg: The Soviet Attack on East Prussia, 1945",67.41
5206,89668,BITS,24.49
5212,322561,Dice Throne: Season One ReRolled – Barbarian v. Moon Elf,21.99
5240,139433,Fields of Fire 2,77.85
5246,175088,Pharaoh's Gulo Gulo,37.99
5259,217609,The Wars of Marcus Aurelius,103.87
5268,148767,Brandon the Brave,19.99
5283,295949,Adventure Games: The Grand Hotel Abaddon,17.52
5300,26459,PQ-17: Arctic Naval Operations 1941-1943,32.89
5304,159141,Code of Nine,34.97
5389,2114,"Duck, Duck, Bruce",7.39
5412,216497,???????? (Throne and the Grail),11.47
5436,4522,The Ladybug's Costume Party,51.45
5469,245214,Saboteur: The Lost Mines,14.97
5474,232045,Shaky Manor,21.25
5524,147768,Five Cucumbers,14.97
5529,87,Victory: World War II,67.41
5538,133437,Dead Panic,40.2
5542,301665,DC Deck-Building Game: Dark Nights – Metal,35.99
5555,12282,"Grand Illusion: Mirage of Glory, 1914",19.95
5633,241025,Penny Papers Adventures: Skull Island,15.2
5649,285895,Islands in the Mist,33.34
5660,85800,Octopus's Garden,41.01
5666,16805,Road to Berlin: Platoon Level Combat in World War II – A Panzer Grenadier Game,51.45
5669,265381,DANY,24.12
5691,223996,"Minuit, Meurtre en Mer",69.02
5696,26156,Ausgerechnet Uppsala,18.94
5701,280575,Yin Yang,42.11
5717,246960,Axis & Allies & Zombies,36.51
5722,29379,"Ici, c'est la France! The Algerian War of Independence 1954 - 1962",70.12
5775,185378,"Exceed: Red Horizon – Kaden, Eva, Miska, and Lily",21.92
5785,322563,Dice Throne: Season One ReRolled – Pyromancer v. Shadow Thief,21.99
5836,39332,Tasso,210.57
5895,193083,Kribbeln,15.19
5920,35477,Dead of Winter: The Battle of Stones River (Second Edition),13.95
5940,230898,¡Adiós Calavera!,16.58
5949,40243,Roads to Stalingrad: Campaign Commander Series,67.41
5977,29017,Dschungelschatz,20.43
5984,174219,Time's Up! Kids,25.58
6014,185380,"Exceed: Red Horizon – Satoshi, Mei Lien, Morathi, and Baelkhor",21.92
6035,188181,Avignon: A Clash of Popes,10.47
6072,244170,Loup Garou,14.99
6075,33785,Elsenborn Ridge: Tactical Combat During the Battle of the Bulge – A Panzer Grenadier Game,26.93
6088,5772,What's It to Ya?,19.99
6108,185381,"Exceed: Red Horizon – Alice, Zoey, Gabrek, and Ulrik",21.92
6116,322562,Dice Throne: Season One ReRolled – Monk v. Paladin,30
6122,259830,Hedgehog Roll,28.07
6130,259345,Snail Sprint!,30.36
6164,97683,South African Railroads,31.97
6169,136284,Uluru: Neuer Tumult am Ayers Rock,40.88
6180,317432,Exit: The Game – The Cursed Labyrinth,11.47
6188,198412,Twelve Heroes,18.27
6198,70532,Tonkin: The First Indochina War (Second Edition),59.94
6217,24410,Treasures & Traps,8.45
6261,106753,Ooga Booga,18.44
6271,7176,Battle of the Bulge: Platoon Level Combat in World War II – A Panzer Grenadier Game,60.66
6273,150012,No Retreat!: Polish & French Fronts,76.87
6291,42105,Mixmo,19.88
6301,276169,For What Remains: Streets of Ruin,55.99
6324,27306,Venedig,12.85
6329,292030,Funkoverse Strategy Game: Rick & Morty 100,19.99
6389,62030,Río de la Plata,26.9
6400,279497,The Ratcatcher: The Solo Adventure Game,55.46
6421,240759,War of the Buttons,19.43
6489,85572,"The Last Success: Quadrigame of the War Against Austria, April - July 1809",156.51
6495,286363,SPELL,11.47
6503,180937,Nut Job,14.62
6534,183643,Jeju Island,30.76
6567,363,Cat Blues,8.45
6570,136245,Ka-Boom,29.23
6592,144607,Bitter Woods: Designer Edition,107.62
6611,266266,Murder Mystery Party Case Files: Death in Antarctica,24.4
6650,228399,Okko Chronicles: Cycle of Water – Quest into Darkness,69.97
6706,267377,WWII Commander: Battle of the Bulge,58.99
6707,104575,Steam Torpedo: First Contact,23.99
6710,11385,Stratego: Lord of the Rings Trilogy Edition,12.95
6723,289601,Combo Color,22.75
6733,163277,Cardline: Dinosaurs,16.17
6768,1383,Pool Party,16.31
6821,261624,Warfighter Shadow War: The Modern Night Combat Card Game,22.16
6850,18333,Nature Fluxx,20
6895,96345,Black Stories: Funny Death Edition,11.64
6899,140997,Romans Go Home!,5.84
6939,202296,Wizardry to the Power of Three,30.97
6986,171419,My First Bohnanza,23.28
6988,199086,Festival of a Thousand Cats,25.67
7057,1489,Deadwood Studios USA,6.25
7085,37383,1940: The Fall of France – A Panzer Grenadier Game,115.81
7089,129492,Bee Alert,23.28
7125,271044,UNDO: Cherry Blossom Festival,11.97
7183,197409,The Heroes of Kaskaria,29.99
7201,133835,Dark Empire: Revolution,27.32
7222,133689,"Fall Blau: Army Group South, June to December 1942",179.46
7230,19665,Tara: Ireland's Royal Board Game,31.95
7366,56241,Coral Sea: Campaign Commander Series,60.83
7372,98122,Monster Trap,28.47
7390,41291,Ubongo Extreme: Fun-Size Edition,7.7
7431,202737,Are You Dumber Than a Box of Rocks?,9.33
7447,231854,Twin Stars: Adventure Series I,12.8
7459,83157,"Engine, Engine No. 9",17.53
7525,34284,Graffiti,23.39
7547,19646,Cowabunga,5.95
7574,13254,Second World War at Sea: Midway,41.95
7582,145478,HeartSwitch,10.47
7592,81850,Trigger!,15.14
7622,232353,Costume Party Detective,19.99
7639,40667,Ring-O Flamingo,17.45
7641,3818,Alias,26.18
7667,236974,The Battles of Mollwitz 1741 and Chotusitz 1742,94.16
7705,258131,1759 Siege of Quebec,52.99
7709,85609,Almeida et Bussaco 1810,18.99
7721,287952,Unstable Unicorns: NSFW Base Game,24.99
7722,175177,Ogre: Objective 218,12.41
7735,236475,Best of Werewolves of Miller's Hollow,21.64
7768,159566,Unicorn Glitterluck: Cloud Crystals,19.99
7784,192286,SOL,23.39
7809,203462,Tales & Games: Aladdin & the Magic Lamp,10.96
7821,208256,Munchkin Grimm Tidings,20.37
7824,324157,Hidden Games Tatort: Grünes Gift,31.84
7866,13314,"Beyond Normandy: The British Advance, 1944 – A Panzer Grenadier Game",49.95
7870,111379,My Very First Games: Animal upon Animal,29.99
7876,1950,The Mysteries of Peking,40.83
7956,62291,Fatal Alliances: The Great War 1914-1918,127.95
8094,246129,Helsinki 1918: German Intervention in the Finnish Civil War,42.05
8101,174584,Orcs Must Die! The Board Game: Order Edition,116.92
8127,279014,Teenage Mutant Ninja Turtles: Turtle Power Card Game,13.42
8132,165657,Melee,18.95
8156,310726,"Iron Curtain: Central Europe, 1945-1989",84.96
8184,39862,Flapjacks & Sasquatches,17.47
8257,188614,Simon's Cat Card Game,5.47
8273,154472,Stalingrad: Verdun on the Volga,67.99
8346,141418,LEADERS: The Combined Strategy Game,53.75
8424,209849,King Frog,24.41
8450,342857,"Air, Land, and Sea: Critters at War",12.99
8499,15435,Starship Troopers Miniatures Game,39.45
8520,188530,Eye My Favorite Things,21.58
8532,345976,System Gateway (fan expansion for Android: Netrunner),44.99
8538,244948,Brains Family: Burgen & Drachen,9.35
8540,131017,La Bérézina 1812,29.23
8569,118025,Waka Waka,30.41
8603,2229,Spiel,8.77
8627,7177,Guadalcanal: Semper Fi Series,53.91
8628,73543,Tadaaam!,31.95
8689,318079,Misión Marte,5.99
8703,19902,Shiloh: April Glory,81.3
8743,180938,La Glace et le Ciel,17.48
8790,287591,Storytailors,29.23
8884,235360,TOKYO JUTAKU,31.99
8913,207899,Knights Club: The Bands of Bravery,29.62
8922,320446,Corduba 27 a.C.,93.53
8949,23658,Fiery Dragons,15.09
8962,295478,Cindr,20.97
8971,16144,Fruit Spy,15.83
8980,37912,"Highway to the Reich: The Allied Airborne Invasion of Holland, 1944 (Third Edition)",127.95
8998,228142,Tales & Games: Jack & the Beanstalk,24.27
9051,17557,Super Farmer,29.12
9106,216014,"Aye, Dark Overlord! The Green Box",19.99
9110,194028,Rabbit Rally,21.92
9165,313467,Unsolved Case Files: Harmony Ashcroft,31.67
9221,75674,Julian: Triumph Before the Storm,57.97
9344,281945,Old School Tactical: Volume 3 – Pacific 1942/45,80
9390,296164,Yura Yura Penguin,12.17
9435,244267,BarBEARian Battlegrounds,15.99
9439,155822,Krosmaster Junior,43.85
9478,2087,Magic Dance,8.5
9531,298164,Volle Weide,4.62
9642,77034,Cat & Chocolate,16.45
9656,246263,Fallen Angels,14.61
9663,193727,Absolute War! The Russian Front 1941-45,51.16
9696,39426,"Kursk, South Flank: A Panzer Grenadier Game",92.41
9719,197528,King Of The Hill: The Dwarf Throne,20.43
9729,271002,Myraclia,50.24
9773,101118,"Borodino: Napoleon in Russia, 1812",107.91
9888,239262,Platoon Commander Deluxe: The Battle of Kursk,26.93
9954,270223,Ab durch die Mauer,34.99
9963,341358,INSERT,19.99
9967,88246,Punic Island: Campaign Commander Volume III,64.71
9973,129309,"Caesar's War: The Conquest of Gaul, 58-52 BC",17.48
9990,143509,Bluff in Zoo,12.86
10035,333516,EXIT: Das Spiel + Puzzle – Das dunkle Schloss,19.99
10063,317365,Adventure Games: Die Akte Gloom City,9.35
10168,40962,Burg der 1000 Spiegel,29.23
